provider,account_id,service,resource_id,tag_team,usage_date,cost_amount,currency
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-17,12.33,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-18,10.86,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-19,11.46,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-20,11.34,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-21,12.57,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-22,12.42,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-23,12.94,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-24,11.01,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-25,11.81,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-26,10.87,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-27,11.32,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-28,12.01,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-29,10.86,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-06-30,11.28,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-01,12.36,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-02,12.11,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-03,11.33,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-04,12.21,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-05,12.74,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-06,10.82,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-07,12.73,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-08,12.48,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-09,11.62,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-10,11.17,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-11,13.1,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-12,11.61,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-13,11.02,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-14,11.03,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-15,12.83,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-16,12.25,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-17,12.74,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-18,12.55,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-19,12.09,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-20,13.14,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-21,11.71,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-22,12.12,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-23,12.79,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-24,12.28,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-25,12.87,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-26,12.19,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-27,12.49,USD
aws,aws-account-01,EC2,i-1001-ec2-team-a,team-a,2026-07-28,10.91,USD
