resource_id,usage_date,utilization_pct,status
i-1001-ec2-team-a,2026-06-17,79.6,running
i-1001-ec2-team-a,2026-06-18,44.8,running
i-1001-ec2-team-a,2026-06-19,78.9,running
i-1001-ec2-team-a,2026-06-20,62.9,running
i-1001-ec2-team-a,2026-06-21,43.7,running
i-1001-ec2-team-a,2026-06-22,58.3,running
i-1001-ec2-team-a,2026-06-23,64.3,running
i-1001-ec2-team-a,2026-06-24,67.2,running
i-1001-ec2-team-a,2026-06-25,32.5,running
i-1001-ec2-team-a,2026-06-26,60.3,running
i-1001-ec2-team-a,2026-06-27,54.8,running
i-1001-ec2-team-a,2026-06-28,75.2,running
i-1001-ec2-team-a,2026-06-29,44.3,running
i-1001-ec2-team-a,2026-06-30,69.9,running
i-1001-ec2-team-a,2026-07-01,60.4,running
i-1001-ec2-team-a,2026-07-02,47.6,running
i-1001-ec2-team-a,2026-07-03,61.8,running
i-1001-ec2-team-a,2026-07-04,61.0,running
i-1001-ec2-team-a,2026-07-05,63.9,running
i-1001-ec2-team-a,2026-07-06,66.0,running
i-1001-ec2-team-a,2026-07-07,63.0,running
i-1001-ec2-team-a,2026-07-08,71.9,running
i-1001-ec2-team-a,2026-07-09,61.4,running
i-1001-ec2-team-a,2026-07-10,75.2,running
i-1001-ec2-team-a,2026-07-11,62.3,running
i-1001-ec2-team-a,2026-07-12,45.4,running
i-1001-ec2-team-a,2026-07-13,52.0,running
i-1001-ec2-team-a,2026-07-14,59.0,running
i-1001-ec2-team-a,2026-07-15,66.6,running
i-1001-ec2-team-a,2026-07-16,34.5,running
i-1001-ec2-team-a,2026-07-17,44.8,running
i-1001-ec2-team-a,2026-07-18,67.4,running
i-1001-ec2-team-a,2026-07-19,38.8,running
i-1001-ec2-team-a,2026-07-20,36.6,running
i-1001-ec2-team-a,2026-07-21,57.0,running
i-1001-ec2-team-a,2026-07-22,78.6,running
i-1001-ec2-team-a,2026-07-23,56.5,running
i-1001-ec2-team-a,2026-07-24,75.7,running
i-1001-ec2-team-a,2026-07-25,71.5,running
i-1001-ec2-team-a,2026-07-26,42.8,running
i-1001-ec2-team-a,2026-07-27,71.2,running
i-1001-ec2-team-a,2026-07-28,54.1,running
i-1001-ec2-team-a,2026-07-29,70.3,running
i-1001-ec2-team-a,2026-07-30,67.3,running
i-1001-ec2-team-a,2026-07-31,46.9,running
i-1001-ec2-team-a,2026-08-01,35.8,running
i-1001-ec2-team-a,2026-08-02,78.1,running
i-1001-ec2-team-a,2026-08-03,37.0,running
i-1001-ec2-team-a,2026-08-04,78.3,running
i-1001-ec2-team-a,2026-08-05,73.0,running
i-1001-ec2-team-a,2026-08-06,66.2,running
i-1001-ec2-team-a,2026-08-07,79.0,running
i-1001-ec2-team-a,2026-08-08,78.4,running
i-1001-ec2-team-a,2026-08-09,70.2,running
i-1001-ec2-team-a,2026-08-10,48.3,running
i-1001-ec2-team-a,2026-08-11,69.5,running
i-1001-ec2-team-a,2026-08-12,30.7,running
i-1001-ec2-team-a,2026-08-13,56.8,running
i-1001-ec2-team-a,2026-08-14,52.7,running
i-1001-ec2-team-a,2026-08-15,63.6,running
i-1001-ec2-team-a,2026-08-16,63.6,running
